District in Greater Cairo where you live,Which day of the week (phase I) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers"
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",15,148.2,45.4,0,8.883,0,3.6,7,0,11.35,3.96,1.2,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",10,0,34.05,0,5.67,0,0.5,4.5,0,11.35,4.725,0,Cafe ,6,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",8,0,22.7,0,37.8,0,1.2,16,0,68.1,46.44,1.2,no where ,0,0,0,0,0,0,0,0
"Ad-Duqqī , الدقي","Sunday, October 22nd 2023",10,75.68,45.4,0,6.46,0,1,6,0,0,15.2,2.4,gym,2,0,1.247,0,2,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",17,198.6,68.1,37.85,3.024,0,3,4.5,0,22.7,3.78,1,I just went to the university and went home,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",15,0,79.45,93.11,56.7,0,1.15,7,0,11.35,11.34,0.23,0,0,0,0,0,0,0,0,0
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Sunday, October 22nd 2023",6,37.84,45.4,0,7.56,0,1.25,5,0,34.05,2.52,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",8,227.04,45.4,113.55,9.45,0,1.5,7.5,0,11.35,5.67,0.9,0,0,0,0,0,0,0,0,0
"Al-Muqaṭṭam , المقطم","Sunday, October 22nd 2023",9,68.32,45.4,151.4,8.82,0,2,5,0,11.35,1.89,1,None,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",12,37.84,11.35,0,7.56,45,0.46,6,0,0,3.78,1.8,Restaurant & Hanging around ,6,0,0,11.35,1.2,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",6,132.44,56.75,0,37.8,0,4.2,9,0,11.35,3.78,1.2,None ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",18,28.38,45.4,7.57,3.78,0,0,5,0,11.35,1.89,0,car,1,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",11,141.75,34.05,0,26.46,0,3,12,0,34.05,56.7,1.8,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",16,141,3,38,22,0,3,3,0,11,9,0,0,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",10,0,11.35,0,1915.3,0,0.8,5,0,0,3.15,0,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",24,245.96,56.75,90.84,11.34,0,3,0,0,0,0,0,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",9,255.42,22.7,0,7.56,15,3,2.5,0,11.35,3.78,0.23,Restaurant ,4,0,1.89,11.35,0.6,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 23rd 2023",17,0,34.05,0,19.65,0,0.92,4.5,0,11.35,4.536,0.6,"Driving, walking ",2.5,0,0,0,0.6,0,0,0
AUC Dorm,"Monday, October 23rd 2023",15,113.52,68.1,75.7,45.36,0,3.5,6,0,0,0,0.6,hanging around,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",4,66.2,56.75,15.14,15.12,0,1.5,7,0,45.4,7.56,2.5,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",7,77.512,34.05,0,18.9,0,3,7,0,11.35,7.56,0.6,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",10,0,11.35,0,1.89,0,0.83,14,0,11.35,2.1,0.23,None,0,0,0,0,0,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",21.75,0,56.75,0,3.15,0,0.6,1.25,0,0,0,0.23,Car,1,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",11,18.92,11.35,0,5.04,0,23,1.5,0,0,0,0,Church,4,0,1.26,11.35,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",6.5,160.82,45.4,0,3.276,0,1.2,11,0,0,1.638,1.2,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",7,160.82,34.05,0,22.68,0,1.2,9,0,11.35,15.12,1.2,none,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 23rd 2023",8,160.82,22.7,27.1,0,0,0,9,0,11.35,0.63,0,Restaurant ,4,0,0.67,11.35,0.6,0,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",12,85.14,22.7,0,15.12,0,0.46,3,0,0,0,0,Gym and friends' uni and lunch with family,7,0,7.56,11.35,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",4,38,11.35,0,3.78,0,0.6,14,0,46,18.9,2,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",10,141.9,56.75,37.85,18.9,0,4,7,0,22.7,18.9,2,Gym,2,0,0,0,2,15,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",2,47.3,22.7,0,2.52,0,0.3,11,0,0,6.3,1.2,Hanging out,4,0,1.26,11.23,0.6,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",16,236.5,68.1,0,3.78,0,1.2,7,0,0,1.26,0.6,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",17,94.6,34.05,0,22.68,0,0.4,7,0,0,3.78,0.4,none,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",4,113.6,45.4,0,15.12,0,1.8,10,0,11.35,22.68,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",12,94.6,45.4,0,30.24,0,3,7,0,11.35,11.34,0.6,restaurant ,2,0,3.78,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",12,28.38,56.75,7.57,17.01,0,1.2,2,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",2,151.36,22.7,0,15.12,0,0.46,13,0,45.5,22.68,1.2,0,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 23rd 2023",7.75,85.14,22.7,0,10.71,0,1.4,5.33,0,0,0,0,Gym,1.33,0,2.142,11.35,0.75,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",15,113.52,79.45,0,75.6,0,1.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 23rd 2023",7,94.6,45.4,0,3.519,0,0.46,4,0,0,0,0,club,2,0,0,0,0.9,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",7,66.15,11.35,0,7.56,0,0.23,6,0,0,3.78,0.6,no other places,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 23rd 2023",17,81.98,68.1,0,0,0,3,0,0,0,0,0,friends house,5,0,2.268,11.35,0.23,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Monday, October 23rd 2023",2,0,22.7,0,18.9,0,0,0.46,0,22.7,0,0,0,0,0,0,0,0,0,0,0
AUC Dorm,"Monday, October 23rd 2023",18.5,0,34.05,102.19,1.25,0,0.83,5.5,0,11.35,0.45,1.06,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",6,66.22,22.7,0,11.34,0,0.6,10,0,11.35,0.4536,0.6,-,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",2.5,56.76,11.35,0,11.34,0,1.2,12,0,45.4,22.68,3.6,no where,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",12,104.6,45.4,52.99,14.175,0,1.2,8.25,0,34.05,6.6,1.8,restaurant and (hanging around after),4,0,2.2,0,0.6,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",10,75.68,34.05,0,26.46,0,1.75,5,0,11.35,7.56,0.46,no where,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",5,85.14,22.7,0,15.12,0,1.38,10,0,0,11.34,1.15,None,0,0,0,0,0,0,0,0
"Al-Muqaṭṭam , المقطم","Monday, October 23rd 2023",14,94.6,11.35,0,37.85,0,0.6,7,0,22.7,22.68,0.6,restaurant,3,0,15.12,11.35,0,15,0,0
"Az-Zamālik [Zamalek] , الزمالك","Monday, October 23rd 2023",20,0,34.05,0,18.9,0,0,0,0,0,0,0,restaurant ,4,0,3.78,11.35,0,0,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",0.5,0,22.7,0,0,0,0.3,13,0,34.05,37.8,2.4,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",17,245.96,45.4,0,13.23,0,2.4,5,0,22.7,7.938,1.2,"no place, that is all. ",0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",21,77.099,102.15,7.57,9.639,0,0.92,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 23rd 2023",1,0,11.35,0,3.78,0,0.23,15,0,34.05,18.9,3,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",15,113.52,79.45,227.1,37.8,0,3,9,0,22.7,11.34,0.5,none ,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",11,141.9,45.4,0,11.34,0,1.2,4,0,0,0,0.6,"Restaurant, 5A , open air mall , other apartment ",10,0,11.34,34.05,3,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",12.5,0,22.7,0,1.512,0,0.4,11.5,0,11.35,0.756,0.45,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",14,94.6,34.05,0,11.34,0,1,10,0,22.7,11.34,1,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",8,141.9,22.7,189.25,18.9,450,1.8,13,0,34.05,37.8,1.15,gym - sauna,2,189.2,11.35,22.7,1.2,15,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 23rd 2023",2,0,34.05,0,11.34,0,0.23,7,0,11.35,3.78,0.4,"club, gymnastics hall ",4.5,0,1.89,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",16,0,45.4,5.4,18.9,0,0.6,4,0,0,0,0,mall,4,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",18,170.28,45.4,5.05,5.67,0,1.8,4,0,0,0,0.6,Driving in car with friends,2,0,0,0,0.6,15,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",19,113.52,34.05,0,30.24,0,2.4,5,0,11.35,11.34,0.6,0,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",17,425.7,34.05,0,18.9,0,1,6,0,0,3.78,0,none,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",20,151.36,34.05,0,6.3,0,2.4,4,0,0,0,0,None,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",6,94.6,44.45,0,17,0,2.3,3,0,22.7,12,0.6,Training,2,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",10,0,34.05,0,3.78,0,0.6,4,0,0,0,0,friends house ,10,0,3.78,0,0.46,0,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",2,151.36,22.7,0,7.56,0,0.23,6,0,11.35,2.54,1.2,friends’ house,6,0,2.4,11.35,0.92,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",19,300,22.7,0,15.12,0,1,5,0,22.7,10,1,N.A.,0,0,0,0,0,15,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",18,78.045,45.4,7.57,18.86,0,0.85,6,0,11.35,0.756,0.8,no other place,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",19,0,22.7,0,10,0,1,5,0,11.35,7.5,0.5,N.A.,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",1,96.965,22.7,0,7.56,0,0.46,9,0,68.1,30.24,3.5,nothing,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",5,94.6,45.4,0,26.46,0,3,5,0,11.35,3.78,0,0,0,0,0,0,0,0,0,0
AUC Dorm,"Monday, October 23rd 2023",10,0,35,0,21,0,1,10,0,22.7,19,1.5,Restaurant ,3,0,8,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",14,123,2,0,4.9,0,0.5,7,0,1,0.75,1,Restaurant ,2,0,0,0,0.23,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 23rd 2023",9,78.518,68.1,0,9.828,0,1.2,6,0,22.7,5.8,0.6,Gym,3,0,20,3.783,1.2,0,0,2.523
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",13,0,45.4,0,7.56,0,0.23,7,0,11.5,1.89,0.3,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",9,153,4,0,1,0,0.46,9,0,1,0.5,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",14,504.58,22.7,0,10.143,0,1.06,10,0,0,0,0.6,Non,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",1,0,0,0,0,0,0.46,16,0,3,1,1.2,n/a,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",11,132,34,0,18.9,0,1.15,4,0,11.35,7,0.23,Restaurent,1,0,2.5,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",12,236,34,151,8,5,1.5,6,0,0,1,0.6,Club,2,0,1.9,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",12,38,34,0,7,0,1.8,3,0,11.35,1.7,0.3,hanging around,8,0,4.2,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",9,0,22.7,0,11.34,0,1.2,3.5,0,0,1.89,0,club,4.5,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",18,230,34.05,0,3.78,0,0,6,65.75,0,2.835,0.6,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",3,189.2,34.05,37.85,3.78,0,0.6,15,0,68.1,11.34,0.23,0,0,0,0,0,0,15,0,0
"Al-'Ajūzah , العجوزة","Monday, October 23rd 2023",6,1135.2,22.7,0,60.48,0,2.4,7,0,22.7,69.5,0.46,restaurant ,4,0,18.9,0,0.23,0,0,0
AUC Dorm,"Monday, October 23rd 2023",9,47.3,22.7,30.28,3.78,0,1,10,0,22.7,7.56,1.2,restaurant/church,5,0,3.78,11.35,0.6,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",6,122.98,136.2,0,56.7,0,2,4,0,45.4,15.12,1,Nowhere else ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",3,0,34.05,0,3.78,0,0.6,7,0,0,0,0.6,hanging around,5,0,1.89,0,0.46,0,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",9,217.58,0,30.28,11.34,0,1.9,10,0,56.75,7.561,1.5,"Park, restaurant, family's house",5,0,0,0,0.8,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",5.5,179.74,22.7,0,11.34,0,0.23,9,0,11.35,1.89,1.43,0,0,0,0,0,0,0,0,0
"Al-Muqaṭṭam , المقطم","Monday, October 23rd 2023",4,189.2,22.7,0,11.34,0,1.38,5,0,45.4,11.34,0.23,friend’s house,5,0,6,22.7,0.6,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",14,75.68,34.05,56.775,7.56,0,0.6,9,0,11.35,4.725,0.6,0,0,0,0,0,0,0,0,0
AUC Dorm,"Monday, October 23rd 2023",12.5,66.22,68.1,7.57,37.8,0,0.7,9,0,0,0,0.3,gym,2.5,0,3.78,11.35,0.6,0,0,0
"Ad-Duqqī , الدقي","Monday, October 23rd 2023",11,69.06,45.4,00,2.326,0,1.8,7,0,11.35,4.1,2.4,00,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",12,189.2,34.05,0,15.12,0,1.2,9,0,0,7.56,0.46,My friends house ,2,0,7.56,11.35,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",21,113.52,56.75,68.13,15.12,0,1.8,3,0,0,0,0.6,Only University and Home,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",15.5,75.68,22.7,0,26.46,0,2.5,8.5,0,0,1.59,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",16,52.03,34.05,0,3.78,0,2.2,8,0,11.35,1.89,0.3,9,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",7,182.1996,34.05,0,14.08,0,1.2,4,0,0,0,0.4,hanging around,4,0,1.9,11.35,0.73,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 23rd 2023",16,333.1,45.4,0,11.34,0,1.3,7,0,11.35,3.78,0.4,No,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",12,378.4,45.4,0,30.24,0,1.2,5,0,22.7,15.12,0.6,No ,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",4,0,34.05,0,15.12,0.5,1.2,11,0,22.7,7.56,1.8,Non,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",14,189.2,56.75,0,34.02,0,2.4,7,0,34.05,11.34,0.6,0,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 23rd 2023",16,283.8,68.1,0,22.68,0,1.8,8,0,22.7,11.34,0.6,Nowhere ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",12,85.14,34.05,0,26.46,0,1.5,7,0,11.35,7.56,1.5,Restaurant ,4,0,3.78,11.35,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",13,85.14,22.7,45.42,12.8,0,1.8,7,0,11.35,4.5,0.6,my friend's house ,3,0,0,0,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",6,94.6,22.7,0,7.56,0,2.4,12,0,22.7,7.56,0.6,N/A,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",4,47.3,56.75,0,22.68,0,2,4,0,0,11.34,1,Center,3,0,0,0,1,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",12,141.9,11.35,0,11.34,0,1.2,12,0,34.05,11.34,2.4,N/A,0,0,0,0,0,15,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",11,0,34,0,8,0,2,5,0,0,0,0.6,Club,4,0,0,0,1.5,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",16,179.74,34.05,0,15.6,0,1.8,8,0,11.35,2.6,0.46,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 23rd 2023",13,0,57,0,38,0,2,0,0,0,0,0,University and Club and coffee shop,10,0,0,0,2,15,0,0
AUC Dorm,"Monday, October 23rd 2023",14,226.9,34.05,0,8.3,0,0.6,24,0,0,0,0,-,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Monday, October 23rd 2023",7,0,22.7,0,24.57,0,0.83,9.5,0,0,10.39,0.6,Stationary store,0.25,0,0,0,0,15,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",5,189.2,22.7,0,22.68,0,0.23,12,0,0,4.41,1.2,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",18,50.138,68.1,6.056,22.302,0,4.3,6,0,11.35,1.134,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",12,0,34.05,68.13,7.56,0,1.2,2,0,11.35,3.78,0.6,no,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",15,170.28,45.4,0,15.12,0,1.2,5,0,11.35,3.78,0.6,sports club,2,0,7.56,11.35,1.8,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",16,130.9,34.05,25.7,27.8,0,1.5,8,0,0,7.5,0.5,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",13,141.9,56.75,0,56.7,0,1.2,4.5,0,0,7.56,0.6,0,0,0,0,0,0,45,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",9,94.6,56.75,0,37.8,0,1.8,3,0,0,0,0.6,Club,1.5,0,0,0,0,0,0,0
